seller_id,year_month,pedidos
01fdefa7697d26ad920e9e0346d4bd1b,2017-04-01,1
01fdefa7697d26ad920e9e0346d4bd1b,2017-05-01,4
01fdefa7697d26ad920e9e0346d4bd1b,2017-06-01,5
01fdefa7697d26ad920e9e0346d4bd1b,2017-07-01,9
01fdefa7697d26ad920e9e0346d4bd1b,2017-08-01,8
01fdefa7697d26ad920e9e0346d4bd1b,2017-09-01,6
01fdefa7697d26ad920e9e0346d4bd1b,2017-10-01,9
01fdefa7697d26ad920e9e0346d4bd1b,2017-11-01,9
01fdefa7697d26ad920e9e0346d4bd1b,2017-12-01,15
01fdefa7697d26ad920e9e0346d4bd1b,2018-01-01,13
01fdefa7697d26ad920e9e0346d4bd1b,2018-02-01,7
01fdefa7697d26ad920e9e0346d4bd1b,2018-03-01,5
01fdefa7697d26ad920e9e0346d4bd1b,2018-04-01,4
01fdefa7697d26ad920e9e0346d4bd1b,2018-05-01,3
01fdefa7697d26ad920e9e0346d4bd1b,2018-06-01,8
01fdefa7697d26ad920e9e0346d4bd1b,2018-07-01,7
01fdefa7697d26ad920e9e0346d4bd1b,2018-08-01,17
0241d4d5d36f10f80c644447315af0bd,2017-10-01,2
0241d4d5d36f10f80c644447315af0bd,2017-11-01,13
0241d4d5d36f10f80c644447315af0bd,2017-12-01,12
0241d4d5d36f10f80c644447315af0bd,2018-01-01,25
0241d4d5d36f10f80c644447315af0bd,2018-02-01,25
0241d4d5d36f10f80c644447315af0bd,2018-03-01,23
0241d4d5d36f10f80c644447315af0bd,2018-04-01,21
0241d4d5d36f10f80c644447315af0bd,2018-05-01,31
0241d4d5d36f10f80c644447315af0bd,2018-06-01,31
0241d4d5d36f10f80c644447315af0bd,2018-07-01,36
0241d4d5d36f10f80c644447315af0bd,2018-08-01,27
0249d282d911d23cb8b869ab49c99f53,2017-09-01,2
0249d282d911d23cb8b869ab49c99f53,2017-10-01,4
0249d282d911d23cb8b869ab49c99f53,2017-11-01,4
0249d282d911d23cb8b869ab49c99f53,2018-03-01,1
024b564ae893ce8e9bfa02c10a401ece,2016-10-01,6
024b564ae893ce8e9bfa02c10a401ece,2017-02-01,2
028872bfa080090a9d0abd4f1af168f8,2017-08-01,3
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-07-01,1
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-08-01,3
02c988090b766852e088c69d7fb3b551,2017-07-01,1
02c988090b766852e088c69d7fb3b551,2017-08-01,1
02c988090b766852e088c69d7fb3b551,2017-09-01,5
02c988090b766852e088c69d7fb3b551,2017-10-01,1
02c988090b766852e088c69d7fb3b551,2017-11-01,1
02c988090b766852e088c69d7fb3b551,2018-01-01,1
02c988090b766852e088c69d7fb3b551,2018-02-01,1
02c988090b766852e088c69d7fb3b551,2018-04-01,1
02c988090b766852e088c69d7fb3b551,2018-05-01,1
02c988090b766852e088c69d7fb3b551,2018-06-01,1
02c988090b766852e088c69d7fb3b551,2018-07-01,1
02c988090b766852e088c69d7fb3b551,2018-08-01,1
02d35243ea2e497335cd0f076b45675d,2017-04-01,2
02d35243ea2e497335cd0f076b45675d,2017-06-01,1
02d35243ea2e497335cd0f076b45675d,2017-08-01,5
02d35243ea2e497335cd0f076b45675d,2017-09-01,1
02d35243ea2e497335cd0f076b45675d,2017-11-01,4
02d35243ea2e497335cd0f076b45675d,2017-12-01,1
02d35243ea2e497335cd0f076b45675d,2018-03-01,1
02d35243ea2e497335cd0f076b45675d,2018-08-01,1
02dcd3e8e25bee036e32512bcf175493,2018-02-01,3
02dcd3e8e25bee036e32512bcf175493,2018-03-01,5
02dcd3e8e25bee036e32512bcf175493,2018-04-01,2
02dcd3e8e25bee036e32512bcf175493,2018-07-01,2
02dcd3e8e25bee036e32512bcf175493,2018-08-01,3
02ecc2a19303f05e59ce133fd923fff7,2017-06-01,1
02ecc2a19303f05e59ce133fd923fff7,2017-09-01,2
