seller_id,year_month,ingresos_total
0336182e1b3e92f029d5354832045fdf,2016-10-01,29.8
034b9387752bfa309f350a70cd45ffa3,2018-04-01,48.0
034b9387752bfa309f350a70cd45ffa3,2018-06-01,12.0
034b9387752bfa309f350a70cd45ffa3,2018-07-01,24.0
034b9387752bfa309f350a70cd45ffa3,2018-08-01,12.0
038b75b729c8a9a04b0d07cba7eabe86,2018-04-01,467.0
039b29ff3b3473435d0cd59040575de9,2018-04-01,17.8
039b29ff3b3473435d0cd59040575de9,2018-05-01,16.1
039b29ff3b3473435d0cd59040575de9,2018-06-01,8.9
039b29ff3b3473435d0cd59040575de9,2018-07-01,16.9
039b29ff3b3473435d0cd59040575de9,2018-08-01,55.2
039e6ad9dae79614493083e241147386,2018-04-01,4775.0
039e6ad9dae79614493083e241147386,2018-05-01,6480.0
039e6ad9dae79614493083e241147386,2018-07-01,1670.0
03a2a6dcbe45d639c4dc2a0d24769c40,2018-03-01,425.87
03a2a6dcbe45d639c4dc2a0d24769c40,2018-04-01,149.9
03a2a6dcbe45d639c4dc2a0d24769c40,2018-06-01,202.7
03a2a6dcbe45d639c4dc2a0d24769c40,2018-08-01,299.94
03bd479e1d9484cdb14104d3023f7321,2018-05-01,119.9
03bd479e1d9484cdb14104d3023f7321,2018-07-01,239.8
0417b067eeab773d2f7061a726dc477f,2018-03-01,322.27
0417b067eeab773d2f7061a726dc477f,2018-04-01,109.99
0417b067eeab773d2f7061a726dc477f,2018-05-01,406.96
0417b067eeab773d2f7061a726dc477f,2018-07-01,67.99
0417b067eeab773d2f7061a726dc477f,2018-08-01,951.97
042573af89b6d931f672efaf789d8358,2018-01-01,238.49
042573af89b6d931f672efaf789d8358,2018-02-01,174.99
04308b1ee57b6625f47df1d56f00eedf,2017-11-01,3999.7
04308b1ee57b6625f47df1d56f00eedf,2017-12-01,4305.6
04308b1ee57b6625f47df1d56f00eedf,2018-01-01,619.9
04308b1ee57b6625f47df1d56f00eedf,2018-02-01,6287.0
04308b1ee57b6625f47df1d56f00eedf,2018-03-01,14180.5
04308b1ee57b6625f47df1d56f00eedf,2018-04-01,4339.5
04308b1ee57b6625f47df1d56f00eedf,2018-06-01,499.9
04308b1ee57b6625f47df1d56f00eedf,2018-07-01,16259.3
04308b1ee57b6625f47df1d56f00eedf,2018-08-01,8500.4
0432ead42b6c8a0bdf68154add917fdf,2017-04-01,935.0
0432ead42b6c8a0bdf68154add917fdf,2017-05-01,1569.3
0432ead42b6c8a0bdf68154add917fdf,2017-06-01,729.2
0432ead42b6c8a0bdf68154add917fdf,2017-07-01,389.4
0432ead42b6c8a0bdf68154add917fdf,2017-08-01,489.4
0432ead42b6c8a0bdf68154add917fdf,2017-09-01,721.2
0432ead42b6c8a0bdf68154add917fdf,2017-10-01,552.3
0432ead42b6c8a0bdf68154add917fdf,2017-11-01,755.3
0432ead42b6c8a0bdf68154add917fdf,2017-12-01,710.2
0432ead42b6c8a0bdf68154add917fdf,2018-01-01,205.7
0432ead42b6c8a0bdf68154add917fdf,2018-02-01,159.8
0432ead42b6c8a0bdf68154add917fdf,2018-03-01,285.8
0432ead42b6c8a0bdf68154add917fdf,2018-05-01,35.9
0432ead42b6c8a0bdf68154add917fdf,2018-07-01,35.9
044668ccd5316b12a7cf0d54a156e3e9,2018-08-01,137.8
04843805947f0fc584fc1969b6e50fe7,2018-08-01,1400.0
048c2757535328e0d7dac690ad3c0aae,2017-03-01,914.9
048c2757535328e0d7dac690ad3c0aae,2017-04-01,515.5
048c2757535328e0d7dac690ad3c0aae,2017-05-01,199.7
048c2757535328e0d7dac690ad3c0aae,2017-07-01,515.5
048c2757535328e0d7dac690ad3c0aae,2017-08-01,199.7
048c2757535328e0d7dac690ad3c0aae,2017-09-01,307.8
048c2757535328e0d7dac690ad3c0aae,2017-10-01,798.8
048c2757535328e0d7dac690ad3c0aae,2017-11-01,557.3
048c2757535328e0d7dac690ad3c0aae,2017-12-01,357.6
048c2757535328e0d7dac690ad3c0aae,2018-01-01,98.7
048c2757535328e0d7dac690ad3c0aae,2018-02-01,515.5
048c2757535328e0d7dac690ad3c0aae,2018-03-01,596.8
048c2757535328e0d7dac690ad3c0aae,2018-04-01,772.1
048c2757535328e0d7dac690ad3c0aae,2018-05-01,922.3
048c2757535328e0d7dac690ad3c0aae,2018-06-01,721.09
048c2757535328e0d7dac690ad3c0aae,2018-07-01,630.39
048c2757535328e0d7dac690ad3c0aae,2018-08-01,441.4
04aa0a1c5ce6b222003403a3e11c3cc0,2017-03-01,338.0
04aa0a1c5ce6b222003403a3e11c3cc0,2017-04-01,189.0
04aa0a1c5ce6b222003403a3e11c3cc0,2017-05-01,1785.0
04aa0a1c5ce6b222003403a3e11c3cc0,2017-07-01,349.0
04aa0a1c5ce6b222003403a3e11c3cc0,2017-08-01,338.0
04aa0a1c5ce6b222003403a3e11c3cc0,2017-09-01,2410.0
04aa0a1c5ce6b222003403a3e11c3cc0,2018-01-01,109.0
04aba03279157f6d4e0fe8ccaf21963c,2017-05-01,286.0
04aba03279157f6d4e0fe8ccaf21963c,2017-08-01,114.0
04aba03279157f6d4e0fe8ccaf21963c,2017-10-01,216.0
04aba03279157f6d4e0fe8ccaf21963c,2017-11-01,298.0
04aba03279157f6d4e0fe8ccaf21963c,2017-12-01,540.0
04aba03279157f6d4e0fe8ccaf21963c,2018-01-01,118.0
04aba03279157f6d4e0fe8ccaf21963c,2018-02-01,130.0
04aba03279157f6d4e0fe8ccaf21963c,2018-03-01,296.0
04aba03279157f6d4e0fe8ccaf21963c,2018-04-01,198.0
04aba03279157f6d4e0fe8ccaf21963c,2018-08-01,220.0
